source_id	name	closes_gap	use	structures	redistribution	access	priority	status	verified_on	url	rationale
coconut	COCONUT	structures	CURATE_ONLY	COMPLETE	UNVERIFIED	BULK	3	BLOCKED	2026-09-07	https://coconut.naturalproducts.net/	Blocked on aggregate relabelling, not on content. The download page states verbatim that COCONUT data is released under CC0 without any restrictions, while the project README states verbatim that every source comes with its own licence and must be reviewed. Tallying the collections column over all 738,827 rows shows the README is right: 47,475 KNApSAcK rows whose terms forbid redistribution, 81,801 NPASS rows with no stated licence, 34,748 NPAtlas rows under CC BY-NC and 30,700 CMNPD rows under CC BY-NC-SA. Adoption therefore means seeding only rows whose collections are all verified open, never the banner. Separately it cannot supply referenced occurrences at all: the organisms and dois columns are unpaired lists on the compound row. 738,827 rows over 728,421 unique InChIKeys, 37% with any organism, 33% with any DOI, about 5% revoked and needing filtering.
gsrs	FDA GSRS / UNII	identity	SEED	COMPLETE	CC0_OK	BULK	3	CANDIDATE	2026-09-07	https://gsrs.ncats.nih.gov/	The lead that came out of the knowledge-graph cluster rather than from it. The FDA/NCATS Global Substance Registration System is US government public domain, carries structures and UNIIs, and is the resource that supplied NP-KG's constituent names in the first place. AntibioticMech already reads it, so the extractor is reusable. Useful for resolving a botanical constituent name to a substance with a structure, which is precisely the step NP-KG does not take. A UNII alone is not evidence of anything biological.
npatlas	NPAtlas	occurrences	CURATE_ONLY	COMPLETE	NON_COMMERCIAL	BULK	3	BLOCKED	2026-09-07	https://www.npatlas.org/	The most painful exclusion. Best-curated microbial occurrence resource, 36,545 compounds, and a live API record carries origin_reference with both DOI and PMID plus origin_organism with an NCBI taxid and a full ancestor ladder. The terms page states verbatim that data downloaded from the Natural Products Atlas is licensed CC BY-NC 4.0, and the 3.0 paper confirms the change began at release 2024_09; releases through 2024_03 were CC BY 4.0 and would be seedable if a specific older Zenodo version's licence field is verified. No release since 2024_09. Models structure reassignments and maintains an excluded file, so a naive ingest imports superseded structures.
cmnpd	CMNPD	occurrences	REFERENCE	COMPLETE	NON_COMMERCIAL	BULK	4	BLOCKED	2026-09-07	https://docs.cmnpd.org/	Marine chemistry, 31,561 compounds with sampling coordinates and 72,349 bioactivity records. Terms page states verbatim a CC BY-NC-SA 4.0 licence, which is doubly incompatible. Frozen at v1.0 and the docs site reports it last updated six years ago. Its marine producers are frequently the collected holobiont rather than the biosynthetic organism, which is the host-symbiont trap this corpus exists to keep separate.
co-add	CO-ADD	bioactivities	REFERENCE	PARTIAL	RESTRICTED	BULK	4	BLOCKED	2026-09-07	https://www.co-add.org/	"The sharpest gap between branding and terms found anywhere in this landscape. The front page reads Open-access Antimicrobial Screening Database; the only terms page reserves all copyright, states that content may not be systematically downloaded, and forbids reproduction or transmission without prior written permission. No Creative Commons licence is named. Its data also reaches ChEMBL as 35 assays and 99,793 activities, where it is at least explicitly licensed, but as share-alike. The terms read like unmodified 2016 university boilerplate over a Wellcome-funded open-science project, so a CC BY request is plausible and is one of the two highest-value licence asks here. Single-concentration primary hits are inhibition percentages and must never be recorded as MICs. The operative sentence, verbatim: content ""may not be systematically downloaded, retrieved or stored""."
gnps	GNPS spectral libraries	structural_observations	CURATE_ONLY	PARTIAL	CC0_OK	BULK	4	CANDIDATE	2026-09-07	https://gnps.ucsd.edu/	GNPS documentation states that reference spectra contributed directly to GNPS default to CC0. But the library table types libraries as GNPS, GNPS_PROPOGATED, IMPORT and AGGREGATED and publishes no per-library licence field, so seeding needs an explicit allow-list built from the type column with the large IMPORT libraries verified individually. Spectra are detection evidence, not structures, and many library entries have no structure at all.
knapsack	KNApSAcK	occurrences	REFERENCE	COMPLETE	RESTRICTED	WEB	4	BLOCKED	2026-09-07	http://www.knapsackfamily.com/knapsack_core/top.php	Still actively updated, 63,735 metabolites and 159,606 metabolite-species pairs as of 2026-07-03, and strong on Asian phytochemistry under-represented elsewhere. The core page states verbatim that any content cannot be re-distributed or used for commercial purposes without contacting the group. The only bulk download offered is version 1.200.03 from 2008; current data is web-only and the terms forbid scraping. A negotiated grant is conceivable because the notice invites contact, but that is a conversation, not a licence.
norine	Norine	structures	REFERENCE	COMPLETE	SHARE_ALIKE	BOTH	4	BLOCKED	2026-09-07	https://bioinfo.lifl.fr/norine/	The best nonribosomal-peptide resource, with monomer-level representation. CC BY-NC-SA 4.0, so both NonCommercial and ShareAlike bar it; the home page's freely available to everybody continues into that licence. The compliant route is to use it as a pointer to the primary literature, which it exposes per peptide, and re-curate. Its chemistry is also where the Standard InChIKey's limits bite hardest: macrocyclic peptides, tautomers and undefined relative stereochemistry.
np-kg	NP-KG	curation_leads	REFERENCE	NONE	RESTRICTED	BULK	4	BLOCKED	2026-09-07	https://github.com/sanyabt/np-kg	Assessed and refused for seeding on 2026-09-07: it carries no chemical structures at all. NP-KG v3.0.0 (June 2024, 1,089,139 nodes, 7,836,115 edges) represents natural products as a 651-class OWL extension of 613 named phytoconstituents, 460 mapped to a ChEBI class and 153 carrying only a minted napdi.org name URI whose sole superclass is CHEBI:24431, chemical entity. A grep over the extension for inchi, smiles, pubchem, unii, formula and CAS returns nothing. Every structural join would run through ChEBI, which this corpus reads directly, and the 153 name-only constituents are exactly the compounds ChEBI lacks. Licence is the second bar: the Zenodo dataset is stamped CC BY 4.0 and the code is Apache-2.0, but the graph merges PheKnowLator, whose inputs include CTD (no commercial reproduction without written permission) and DisGeNET (NC-SA), and a merge inherits its most restrictive input. The CTD terms page sits behind a human-verification gate and could not be read, so that link is medium confidence and deserves a browser check. Real value is as curator reference for plant-constituent-CYP pharmacokinetic mechanism across 31 botanicals with PubMed ids; filter by edge provenance, because its machine-read literature layer is merged into the same triple list as curated edges and scored 38.98% congruence for green tea in its own evaluation.
npass	NPASS	bioactivities	REFERENCE	COMPLETE	UNVERIFIED	BULK	4	BLOCKED	2026-09-07	https://bidd.group/NPASS/	The best structural fit for this corpus in the entire landscape, and blocked on nothing but a missing licence. Version 3.0 (2025-06-15): 204,023 natural products, 48,940 source organisms, 8,764 targets, 1,048,756 activity records including antimicrobial MICs against ESKAPE organisms, and it is natively InChIKey-keyed, which almost nothing else in the bioactivity cluster is. Homepage, about page and download page were all checked on 2026-09-07 and none carries any licence, copyright or terms statement; a third-party registry records CC-BY-NC, which is not the maintainers' word, and no statement is not permission. This is the single highest-value licence request in the landscape: one email could unblock the activity layer. Caveats if it is ever granted: it inherits from COCONUT, UNPD and TCM sources so upstream errors propagate and the same occurrence arrives by several routes, species sources are genus-level for a large fraction, and a 2023 tranche of roughly 66,600 compounds carries only estimated activity profiles that must never be read as measurements.
npbs	NPBS Atlas	occurrences	REFERENCE	COMPLETE	NON_COMMERCIAL	BULK	4	BLOCKED	2026-09-07	https://biochemai.cstspace.cn/npbs/	Built for exactly this corpus's axis, compound to biological source, with 218,941 natural products split botanical, zoological, fungal, bacterial and marine. Its licence page states verbatim that access and use are freely available under CC BY-NC 4.0, while the J Cheminform article is CC BY: the article licence is not the database licence. Built largely by text mining with manual supplementation, so occurrence pairs may lack a verifiable primary reference, and TCM source annotations often name a preparation rather than a taxon.
pubchem-bioassay	PubChem BioAssay	bioactivities	CURATE_ONLY	COMPLETE	CC0_OK	BULK	4	CANDIDATE	2026-09-07	https://pubchem.ncbi.nlm.nih.gov/	300,270,330 bioactivity rows over 1,980,801 assays. NCBI states that information created by or for the US government is in the public domain, but PubChem is a deposition archive and the operative licence is the depositor's, so any seeded row must record its depositor and commercial-vendor depositions should be avoided. Two traps make this curate-only for now: results are deposited on substances, some of which are mixtures, extracts or salts, and the substance-to-compound standardisation can attach an extract's activity to a single parsed constituent; and primary single-concentration screens sit beside confirmatory dose-response with no consistent flag, so an Active call is a hit, not a potency. Operational note: PubChem BioAssay carries no natural-product flag, so the natural-product slice has to be constructed rather than selected — intersect assay CIDs with the InChIKeys this corpus already holds from LOTUS, COCONUT and MIBiG, then filter by depositor. That makes it a source that thickens existing records and cannot introduce them, which suits it to M5 rather than M2.
streptomedb	StreptomeDB	producer_organisms	REFERENCE	COMPLETE	UNVERIFIED	BULK	4	CANDIDATE	2026-09-07	https://streptomedb.vm.uni-freiburg.de/streptomedb/	Version 4.0, 8552 natural products, 3888 producer strains and 7630 curated PubMed articles, with manually curated compound-organism-reference links; the deepest Streptomyces coverage available. Neither the home page nor the download page carries a licence and the footer reads All Rights Reserved, while the NAR paper is CC BY: again the article is not the database. Worth an explicit ask, since the curated core is exactly Phase A's target. If adopted, keep the provenance flags: the same distribution mixes the curated core with 336,228 literature-mined and 398,717 pharmacophore-predicted protein relations.
antismash-db	antiSMASH database	producer_organisms	REFERENCE	NONE	UNVERIFIED	BULK	5	CANDIDATE	2026-09-07	https://antismash-db.secondarymetabolites.org/	479,420 predicted BGC regions over 56,054 genomes, and no compound assignment anywhere, so it cannot introduce or ground a record. Its use would be indirect: expanding a known compound's producer set through KnownClusterBlast hits to MIBiG, which is a similarity claim, not identity. No data licence is published for the dumps; the code is AGPL-3.0 and the papers speak only of unrestricted access, which is about access rather than redistribution. Worth asking the maintainers, who also maintain MIBiG under CC BY.
bigfam	BiG-FAM	biosynthetic_gene_clusters	REFERENCE	NONE	ATTRIBUTION	BULK	5	CANDIDATE	2026-09-07	https://bigfam.bioinformatics.nl/	CC BY 4.0 per a rel=license link on the site. Gene cluster families would let a producer claim generalize across strains, but it is frozen on 2020 data and MIBiG 2.0, and its documented bulk-download URL returned nothing. Reference only until it is refreshed.
classyfire	ClassyFire and ChemOnt	classification	REFERENCE	NONE	RESTRICTED	API	5	BLOCKED	2026-09-07	http://classyfire.wishartlab.com/	Bespoke terms requiring permission for commercial redistribution. NPClassifier is CC0 and biosynthesis-oriented, which suits this corpus better anyway, so ChemOnt is refused rather than queued. This also means dropping ChemOnt strings that arrive inside otherwise-CC BY records from MassBank.
drugcentral	DrugCentral	clinical_status	REFERENCE	COMPLETE	SHARE_ALIKE	BULK	5	BLOCKED	2026-09-07	https://drugcentral.org/	CC BY-SA 4.0, so share-alike bars it, and its public dump is still the 2023 release. Drugs@FDA plus GSRS covers the same regulatory ground under public-domain terms, which is the route AntibioticMech already took.
duke	Dr. Duke's Phytochemical and Ethnobotanical Databases	bioactivities	REFERENCE	NONE	CC0_OK	BULK	5	CANDIDATE	2026-09-07	https://phytochem.nal.usda.gov/	The cleanest licence in the whole landscape and among the dirtiest data. Its about page states verbatim that contents are made available under a Creative Commons CC0 public domain dedication, deposited with a DOI through USDA Ag Data Commons. But activity labels are frequently attributed to a plant and then associated with its constituent chemicals, which is the herb-level-indication trap by construction, and many entries carry no units, no assay and no dose. CC0 makes it seedable and the evidence rules make most of it unusable as a BioactivityObservation. Frozen; developed 1992-2016.
enpkg	ENPKG	curation_leads	REFERENCE	PARTIAL	ATTRIBUTION	BULK	5	CANDIDATE	2026-09-07	https://enpkg.commons-lab.org/	The only genuinely natural-product-specific knowledge graph found. Sample-centric LC-MS/MS from plant extract collections, with molecular networking, in-silico annotation and links to Wikidata and LOTUS. Its compound nodes are putative structural annotations of mass features, ranked by score, so it says what was probably in one extract rather than what an organism is known to produce. Hypothesis-grade, therefore a curation lead and never a seed. Deposits are licensed individually, CC BY on some and CC0 on others, so even reference use needs a per-deposit check; the code is GPL/AGPL, which matters only if the pipeline were vendored.
gtopdb	IUPHAR/BPS Guide to PHARMACOLOGY	molecular_targets	REFERENCE	COMPLETE	SHARE_ALIKE	BULK	5	BLOCKED	2026-09-07	https://www.guidetopharmacology.org/	Expert-curated ligand-target pharmacology with a natural-product slice. Refused twice over: the database is ODbL and its content CC BY-SA 4.0, both share-alike, and bulk downloads have moved behind a login. Curator reference at best, and awkward even for that.
kegg	KEGG	biosynthetic_pathway	REFERENCE	PARTIAL	RESTRICTED	API	5	BLOCKED	2026-09-07	https://www.kegg.jp/	Secondary-metabolite biosynthesis maps. KEGG states it is not a public database and requires a commercial licence. Refused.
massbank	MassBank and MoNA	structural_observations	CURATE_ONLY	PARTIAL	ATTRIBUTION	BULK	5	CANDIDATE	2026-09-07	https://massbank.eu/	MoNA is CC BY 4.0 by default per its own application; MassBank EU carries a mandatory per-record LICENSE tag that defaults to CC BY. Per-record means the distribution of values across the roughly 139,000 records must be computed before ingest and any non-CC BY or non-CC0 value quarantined. Record counts differ by release train (119,845 in the 2026 paper, 134,756 in the deployed instance, 139,006 from the count endpoint), so never quote one without naming its source. Note MassBank records carry ChemOnt strings, which ClassyFire's terms restrict; drop those and keep NPClassifier.
metacyc	MetaCyc and BioCyc	biosynthetic_pathway	REFERENCE	PARTIAL	RESTRICTED	BULK	5	BLOCKED	2026-09-07	https://metacyc.org/	Secondary-metabolite pathways with enzyme steps, which is what biosynthetic_pathway wants. Requires a subscription the site describes as costing at least 5000 dollars. Not seedable and not usable as a curation crib without a data licence.
np-mrd	NP-MRD	structural_observations	REFERENCE	COMPLETE	NON_COMMERCIAL	BULK	5	BLOCKED	2026-09-07	https://np-mrd.org/	Natural-product NMR reference data, which would be strong structural evidence. CC BY-NC 4.0, so not seedable. Same treatment as Norine: a pointer to the primary report.
open-targets	Open Targets Platform	molecular_targets	REFERENCE	NONE	CC0_OK	BULK	5	CANDIDATE	2026-09-07	https://platform.opentargets.org/	Licence page states verbatim that the Platform is marked with CC0 1.0. The same page then enumerates 50+ integrated sources, several of them CC BY-SA, ChEMBL and Human Protein Atlas among them. So Open Targets is usable for its own aggregation and must never be a laundering route for ChEMBL bioactivity, which its drug and mechanism-of-action datasets are substantially derived from. Association scores are computed and are not bioactivity, and its associations are gene-level rather than compound-level, so it closes little here.
podp	Paired Omics Data Platform	biosynthetic_gene_clusters	REFERENCE	NONE	ATTRIBUTION	BULK	5	CANDIDATE	2026-09-07	https://pairedomicsdata.bioinformatics.nl/	CC BY 4.0, verified from the app bundle and submission terms, and conceptually ideal: it links BGCs to mass spectra. But it holds only 117 BGC-to-MS2 links in total, so it closes almost nothing at present. Revisit if it grows.
rhea	Rhea	biosynthetic_pathway	SEED	NONE	ATTRIBUTION	BULK	5	CANDIDATE	2026-09-07	https://www.rhea-db.org/	CC BY 4.0, quoted from the FTP LICENSE.txt after the help page returned 403. The open route to representing a pathway step as a reaction with ChEBI participants, joinable to UniProt through the enzyme. Only useful once curated pathways exist, so it sits behind M6.
